-42, -147, 1589
-44, -125, 1571
-84, -145, 1549
-110, -170, 1554
-124, -154, 1540
-143, -134, 1528
-195, -138, 1479
-233, -172, 1439
-278, -200, 1382
-330, -210, 1288
-373, -232, 1224
-416, -245, 1132
-444, -261, 1051
-473, -291, 952
-488, -272, 871
-504, -230, 774
-485, -214, 730
-479, -195, 644
-479, -195, 644
-464, -155, 553
-450, -86, 444
-424, 16, 327
-366, 86, 259
-268, 124, 288
-203, 127, 283
-151, 35, 314
-151, 35, 314
-98, -17, 330
-19, -1, 329
85, 67, 346
168, 132, 377
168, 132, 377
186, 173, 356
214, 190, 347
289, 132, 457
380, 114, 602
418, 147, 689
418, 147, 689
425, 156, 707
421, 131, 768
430, 94, 848
485, 76, 975
485, 76, 975
486, 48, 1062
468, 18, 1101
486, 17, 1057
560, 3, 1416
560, 3, 1416
604, 116, 1307
604, 11, 1431
627, -44, 1506
628, 29, 1459
638, 72, 1490
632, 99, 1464
632, 99, 1464
-,-,-
-23, -162, 1392
32, -152, 1508
74, -126, 1549
79, -110, 1566
77, -92, 1584
77, -92, 1584
79, -101, 1571
53, -133, 1617
20, -158, 1667
-12, -187, 1713
-84, -218, 1676
-179, -235, 1539
-266, -279, 1407
-311, -289, 1287
-354, -287, 1165
-410, -285, 1031
-429, -291, 954
-445, -303, 893
-461, -261, 778
-477, -232, 643
-532, -234, 524
-532, -234, 524
-599, -229, 379
-611, -209, 278
-528, -135, 262
-396, -48, 292
-299, 47, 324
-219, 96, 353
-169, 99, 370
-123, 130, 384
-123, 130, 384
-80, 142, 378
-15, 132, 441
51, 118, 522
73, 102, 517
89, 88, 459
89, 88, 459
111, 83, 385
185, 77, 409
320, 91, 556
320, 91, 556
390, 79, 684
396, 37, 726
415, 7, 758
415, 7, 758
526, 26, 894
589, 41, 991
586, 52, 980
586, 52, 980
580, 71, 981
637, 57, 1006
709, 42, 1305
710, 89, 1154
710, 89, 1154
669, 24, 1149
694, -27, 1192
693, -89, 1290
714, -97, 1322
774, -100, 1425
-,-,-
-97, -217, 1329
-96, -183, 1401
-68, -143, 1392
-67, -128, 1409
-76, -99, 1476
-36, -73, 1571
16, -66, 1720
16, -66, 1720
15, -56, 1800
-83, -114, 1708
-257, -218, 1504
-400, -324, 1300
-515, -422, 1161
-561, -476, 1081
-573, -491, 1025
-577, -480, 951
-554, -446, 860
-542, -418, 803
-487, -371, 777
-439, -344, 719
-406, -341, 665
-394, -330, 586
-379, -275, 499
-347, -203, 417
-347, -203, 417
-292, -135, 369
-207, -90, 396
-127, -50, 400
-65, -4, 377
-20, 52, 305
24, 105, 227
24, 105, 227
79, 145, 188
179, 152, 256
247, 118, 350
309, 88, 447
309, 88, 447
361, 56, 508
459, 66, 611
509, 84, 713
523, 84, 733
523, 90, 733
525, 72, 756
545, 57, 802
603, 62, 876
603, 62, 876
640, 61, 931
637, 37, 913
657, -28, 1214
654, -19, 1123
654, -19, 1123
700, -5, 1252
736, -8, 1315
-,-,-
-166, -131, 1417
-119, -96, 1500
-119, -96, 1500
-83, -62, 1448
-67, -27, 1379
-46, -40, 1444
-6, -58, 1535
31, -61, 1604
45, -53, 1631
28, -54, 1627
28, -54, 1627
-12, -78, 1596
-55, -122, 1578
-134, -184, 1497
-206, -268, 1424
-272, -329, 1312
-339, -345, 1213
-383, -326, 1114
-428, -318, 1023
-464, -307, 941
-490, -289, 842
-505, -279, 785
-525, -262, 712
-524, -243, 614
-509, -213, 507
-471, -164, 425
-419, -127, 349
-350, -82, 282
-350, -82, 282
-291, -16, 236
-199, 45, 225
-111, 116, 187
-76, 180, 114
-82, 201, 65
-42, 177, 101
-42, 177, 101
35, 95, 231
118, 53, 383
185, 47, 444
185, 47, 444
237, 56, 504
326, 92, 636
375, 100, 717
374, 67, 741
374, 67, 741
382, 31, 783
417, -11, 835
443, -48, 860
494, -36, 861
494, -36, 861
624, 9, 939
720, -5, 1250
767, 42, 1184
847, 41, 1347
847, 41, 1347
915, -18, 1477
949, -164, 1723
-,-,-
-74, -119, 1231
-23, -126, 1269
25, -101, 1352
32, -83, 1371
8, -74, 1395
8, -74, 1395
-24, -68, 1432
-50, -94, 1504
-62, -92, 1570
